,fX,fY,fZ,mQATruth
0,"[2.9763989448547363, 4.305664539337158, 4.305664539337158]","[5.708104133605957, 8.257354736328125, 8.257354736328125]","[151.7640380859375, 178.7950439453125, 168.745849609375]",1
1,"[20.780773162841797, 23.651390075683594, 0.19746904075145721, 0.22378826141357422, -5.178481101989746, -7.491200923919678, 0.22378826141357422, -7.491200923919678, 23.651390075683594]","[1.1487510204315186, 1.3074373006820679, 6.4344706535339355, 6.4336090087890625, 3.824230670928955, 5.532139778137207, 6.4336090087890625, 5.532139778137207, 1.3074373006820679]","[153.1590576171875, 180.1900634765625, 151.7640380859375, 178.7950439453125, 151.7640380859375, 178.7950439453125, 168.7459716796875, 168.745849609375, 167.3509521484375]",0
2,"[-12.367856979370117, -14.72852611541748, -7.75092077255249, -3.047456741333008, 8.017019271850586, 9.90821361541748, -14.72852611541748, -10.874940872192383, -4.032804012298584, -9.80392074584961, -11.520631790161133, 8.017019271850586]","[8.59738540649414, 10.23837947845459, -9.405231475830078, -8.799753189086914, -9.179464340209961, -11.344876289367676, 10.23837947845459, -5.50189208984375, -5.017757892608643, -7.240048408508301, -13.748780250549316, -9.179464340209961]","[151.7640380859375, 180.1900634765625, 165.2601318359375, 178.793212890625, 151.7640380859375, 178.7950439453125, 167.3509521484375, 168.7449951171875, 182.2789306640625, 182.27880859375, 153.8509521484375, 168.745849609375]",0
3,"[8.442672729492188, 11.049135208129883, 11.049135208129883]","[3.929877519607544, 5.143128395080566, 5.143128395080566]","[151.7640380859375, 178.7950439453125, 168.745849609375]",1
4,"[0.3816095292568207, 0.3816095292568207, -8.959755897521973, 8.628220558166504, 0.3816095292568207, -6.1936564445495605, -8.959755897521973, 8.628220558166504, 9.820107460021973]","[6.4261794090271, 6.4261794090271, 2.5387864112854004, -18.93974494934082, 6.4261794090271, 1.7549999952316284, 2.5387864112854004, -18.93974494934082, -21.556047439575195]","[151.7640380859375, 178.7950439453125, 165.2620849609375, 166.6571044921875, 168.7459716796875, 155.2479248046875, 182.2789306640625, 153.8529052734375, 180.8839111328125]",0
5,"[-14.802356719970703, -6.4364094734191895, -6.4364094734191895, -14.716485977172852, -25.726367950439453, 3.8091158866882324, 17.509658813476562, -14.802356719970703, -15.045836448669434, -6.4364094734191895, -14.980628967285156, -25.726367950439453, -17.627702713012695, 3.082064628601074, 3.8091158866882324, 17.509658813476562, 20.316083908081055]","[2.7873194217681885, -0.11849332600831985, -0.11849332600831985, -3.2099742889404297, -6.612139701843262, -14.572904586791992, -3.8943240642547607, 2.7873194217681885, 0.7083100080490112, -0.11849332600831985, -1.5683320760726929, -6.612139701843262, 3.3193390369415283, -11.791354179382324, -14.572904586791992, -3.8943240642547607, -4.518501281738281]","[165.2620849609375, 151.7640380859375, 178.7950439453125, 178.7950439453125, 180.1900634765625, 165.2620849609375, 166.6571044921875, 155.2479248046875, 155.2479248046875, 168.7459716796875, 168.745849609375, 167.3509521484375, 180.8839111328125, 155.2479248046875, 182.2789306640625, 153.8529052734375, 180.8839111328125]",0
6,"[4.222978591918945, 5.219168186187744, -6.200783729553223, 5.219168186187744, 4.616703033447266, -6.200783729553223, -6.200783729553223, -4.616703033447266]","[11.432480812072754, 14.129373550415039, 1.729649543762207, 14.129373550415039, 4.486363887786865, 1.729649543762207, 1.729649543762207, -4.486363887786865]","[151.7640380859375, 178.7950439453125, 165.2620849609375, 168.745849609375, 182.27734375, 155.2479248046875, 182.2789306640625, 182.2789306640625]",0
7,"[5.528385162353516, -8.88339614868164, -11.625921249389648, 5.528385162353516, 7.997373104095459, -11.625921249389648]","[3.298236131668091, -2.794266939163208, -3.6569266319274902, 3.298236131668091, 4.771234512329102, -3.6569266319274902]","[165.2620849609375, 151.7640380859375, 178.7950439453125, 155.2479248046875, 182.2789306640625, 168.745849609375]",0
8,"[-9.312480926513672, -9.312324523925781, -3.138604164123535, -3.01143479347229, -4.507013320922852, -3.8939309120178223, -5.7794294357299805, -9.312324523925781, -4.507013320922852, -2.3536336421966553, -3.8939309120178223]","[-0.01904691569507122, -0.057140424847602844, -5.620548725128174, -8.812146186828613, -8.149201393127441, -11.548699378967285, -2.835418701171875, -0.057140424847602844, -8.149201393127441, -5.991812229156494, -11.548699378967285]","[151.7640380859375, 178.7950439453125, 151.7640380859375, 151.7640380859375, 178.7950439453125, 178.7950439453125, 168.7457275390625, 168.745849609375, 168.745849609375, 168.74560546875, 168.745849609375]",0
9,"[13.549768447875977, 1.5514096021652222, -3.184481620788574, -4.166021823883057, -9.436859130859375, -3.4329161643981934, -17.37558364868164, 11.949179649353027, -2.9763989448547363, -3.252897262573242, -3.715111494064331, 22.117656707763672]","[6.578957557678223, 6.247762203216553, 5.594683647155762, 26.2337703704834, 7.712382793426514, 5.445777416229248, 11.456406593322754, 17.04045867919922, 5.708104133605957, 5.5551838874816895, 23.394350051879883, 8.4797945022583]","[151.7640380859375, 151.763916015625, 165.2620849609375, 166.6571044921875, 151.7640380859375, 178.7950439453125, 180.1900634765625, 153.852783203125, 155.2479248046875, 168.7459716796875, 153.8529052734375, 167.350830078125]",0
